EmployeeID,FirstName,LastName,Department,JobTitle,HireDate,Salary,BonusPercent,City,State,Country,Email,PhoneNumber,PerformanceScore,ManagerID,LeavesTaken,OvertimeHours,ProjectsHandled,Gender,Age
17,Anthony,Lopez,Marketing,Analyst,2017-12-28,47896.54,7.72,East Danielle,South Carolina,India,guerrerodiane@nelson.info,786-691-9852x9289,Excellent,6,10,3,1,Female,58
18,Kyle,Gaines,Operations,Manager,2016-09-15,116450.78,13.05,Kellyton,West Virginia,India,ppeterson@lopez-boyer.com,(345)252-5515x08048,Good,18,20,10,5,Male,34
19,Vicki,Jones,Operations,Analyst,2023-02-18,68689.1,17.38,Port Davidfurt,Iowa,India,grice@evans.net,+1-417-935-7797x432,Good,43,17,13,8,Male,35
20,Peter,Ortega,HR,Manager,2018-09-08,102941.93,5.11,Youngton,Hawaii,India,sarahrivera@roberts.info,001-545-847-0972x09993,Good,39,30,3,8,Female,34
21,Chad,Douglas,IT,Executive,2016-11-16,40212.26,13.03,Orrville,Arizona,India,hjones@ross.com,+1-777-431-5005,Average,9,6,22,10,Female,43
22,Bryan,Mullins,Marketing,Analyst,2019-10-06,57403.48,19.07,East Troy,Colorado,India,parsonsallison@larson-gregory.com,(791)498-5638x504,Good,29,26,14,1,Female,48
23,Ryan,Miller,IT,Developer,2017-03-19,114860.88,13.14,North David,Alaska,India,lellis@hotmail.com,001-151-902-1910,Excellent,36,30,42,8,Male,57
24,Elizabeth,Johnston,IT,Developer,2023-09-06,60384.04,7.02,Heathfurt,Rhode Island,India,david13@carr.com,001-925-344-4846,Good,40,17,8,12,Female,22
25,Lori,Morales,Finance,Manager,2024-08-08,43768.4,8.53,Reeseburgh,Louisiana,India,jenniferpeterson@gmail.com,459-457-4043,Excellent,27,28,23,4,Female,46
26,Denise,Rose,Finance,Manager,2016-08-02,65372.04,19.47,Bellside,Ohio,India,imccarthy@jones.info,(216)849-4145x8607,Poor,28,25,30,12,Male,57
27,Ryan,Hensley,HR,Manager,2016-06-09,98300.1,12.8,East Brookechester,Washington,India,zmack@hotmail.com,001-907-607-2595x2835,Excellent,45,5,5,5,Female,58
28,Luke,Shannon,Finance,Developer,2024-10-11,106598.04,16.63,New Brianberg,Ohio,India,nortondawn@moss.com,001-594-043-4072x858,Poor,34,30,27,6,Female,43
29,Veronica,Gay,Marketing,Coordinator,2025-05-27,39654.82,17.03,Lake Garyton,Rhode Island,India,duncanhector@hotmail.com,370.448.6536x100,Poor,12,6,42,14,Male,42
30,Bradley,Moyer,Finance,Analyst,2022-07-16,44280.83,8.25,Millerburgh,Alabama,India,kimberlyadams@gmail.com,619.951.6079x52218,Average,15,30,0,9,Female,43
31,Ashley,Compton,HR,Manager,2025-06-28,117716.18,7.19,Haroldmouth,Washington,India,erin73@gmail.com,526.854.8586,Poor,31,5,6,11,Male,37
32,Matthew,Barton,Finance,Analyst,2018-09-08,32439.86,16.19,Chandlerville,Vermont,India,wmoore@yahoo.com,645.055.2897x92778,Poor,48,29,43,5,Female,54
33,Monique,Myers,IT,Executive,2019-04-10,46837.31,17.1,Brianborough,South Dakota,India,maddoxbrian@hotmail.com,(107)052-9470x053,Good,34,18,18,9,Male,27
34,Alexandra,Horne,Marketing,Coordinator,2015-08-28,69521.73,8.06,West Kevin,Arizona,India,kristen34@hotmail.com,(181)717-3341,Good,21,7,8,15,Female,45
35,Kathy,Mullins,IT,Coordinator,2020-12-01,78228.95,13.81,Smithtown,Minnesota,India,robert58@yahoo.com,+1-165-607-8142x980,Excellent,41,23,16,5,Male,26
36,Heather,Costa,Finance,Analyst,2025-01-16,32339.88,7.25,Lake Stephenside,Alabama,India,linda34@yahoo.com,+1-808-922-7249x4296,Average,16,5,42,6,Male,46
37,Brett,Jarvis,Marketing,Executive,2022-05-01,102550.91,19.01,Denisechester,Maryland,India,daniel69@gmail.com,7077942738,Poor,40,14,11,4,Female,23
38,Katherine,Mckee,HR,Coordinator,2017-03-27,82118.96,9.65,Youngton,Georgia,India,twood@yahoo.com,(521)921-5186x64303,Average,29,3,29,10,Female,34
39,Jeffrey,Reed,HR,Developer,2024-10-20,70759.54,16.2,Bellburgh,Colorado,India,tkim@thomas.org,069.569.1865x5999,Average,3,3,3,7,Female,53
40,Sarah,Krueger,Finance,Manager,2020-08-25,72359.24,19.01,North Kayla,Idaho,India,jimmy33@yahoo.com,+1-630-159-0689x715,Good,12,12,14,2,Female,59
41,Nathan,Bennett,Marketing,Analyst,2021-04-23,73790.97,10.78,Lake Monicaview,Texas,India,michelle84@ortiz.org,769.887.5547,Average,8,29,37,6,Male,39
42,Donald,Rocha,Marketing,Analyst,2017-05-17,94383.25,7.36,Shelbyfort,Kansas,India,xkennedy@mcclain-sanders.com,001-302-218-7089x387,Excellent,15,3,21,5,Male,36
43,Beth,Rojas,HR,Manager,2023-04-10,75900.78,10.13,South Jamesview,Michigan,India,jesse97@garza.net,823-841-1445,Poor,23,18,34,8,Female,54
44,Lacey,Jones,Operations,Manager,2023-12-06,88280.83,6.61,New Gregory,Connecticut,India,cookdarlene@gmail.com,538-421-7803,Excellent,33,19,2,2,Male,33
45,Victoria,Yu,Operations,Analyst,2022-10-04,58278.69,17.48,Ronaldshire,Texas,India,brianpeterson@yahoo.com,224-003-9106x6601,Poor,26,7,25,6,Male,41
46,Cheryl,Martin,Finance,Coordinator,2016-11-30,79552.07,19.68,South Samanthaborough,Oklahoma,India,lynn46@walker.com,(734)736-1663,Good,23,4,35,14,Male,31
47,Anna,Watson,Marketing,Manager,2016-04-15,71647.34,12.44,Lewisview,Arizona,India,gomezjeremy@hotmail.com,+1-639-108-4730x9946,Poor,50,7,50,6,Male,48
48,Alicia,Richards,Finance,Manager,2022-10-18,87526.73,19.31,Sheltonbury,Pennsylvania,India,allenjeremy@hotmail.com,393-196-7905x30347,Average,32,9,7,7,Male,49
49,Amy,Mcdaniel,IT,Manager,2025-04-20,112421.06,16.65,Gregoryton,California,India,cynthia86@hunter.com,(722)907-1910x92471,Good,4,18,21,14,Female,36
50,Kelli,Lamb,Marketing,Analyst,2022-10-10,94610.35,17.28,North Brian,Tennessee,India,iprice@hall.com,+1-521-209-9585x494,Excellent,9,13,4,5,Female,43
51,Jay,Williams,IT,Manager,2017-07-24,104326.23,10.67,Randallchester,Washington,India,singletoncindy@dorsey.com,2163105834,Excellent,28,10,43,14,Female,41
52,James,Peterson,Marketing,Coordinator,2023-07-18,34409.08,6.76,West Jennifer,New Mexico,India,robert04@yahoo.com,0767570176,Poor,9,23,47,7,Male,24
53,Kristin,Valencia,Finance,Coordinator,2017-02-16,31485.92,19.97,Lake Anna,Georgia,India,plloyd@gmail.com,401.848.7394x075,Average,33,6,33,13,Male,52
54,Timothy,Fernandez,Finance,Executive,2023-12-08,73227.2,15.24,Skinnerbury,Idaho,India,jeffreygreene@white-lewis.biz,220.861.7934x424,Excellent,23,25,25,11,Female,53
55,James,Harris,Operations,Executive,2019-12-20,34836.98,8.58,South Kirstenmouth,Connecticut,India,jacob40@yahoo.com,184.016.1457x9790,Excellent,2,2,19,15,Female,48
56,Amanda,Moses,Finance,Coordinator,2023-09-17,77508.23,6.15,East Carly,Alaska,India,stevensonchristy@yahoo.com,1010789436,Average,19,20,18,6,Male,39
57,Grace,Atkins,IT,Coordinator,2016-09-28,119171.07,15.57,Pruitthaven,Oklahoma,India,colleen26@gmail.com,723.311.0381x492,Excellent,47,30,46,11,Female,48
58,Cheryl,Stewart,HR,Executive,2018-10-07,112775.11,12.97,Lake Zachary,Nebraska,India,lindsay33@martin.com,001-320-913-2220,Good,23,10,30,8,Male,44
59,Mark,Fitzpatrick,Marketing,Executive,2020-11-06,111506.4,16.42,Woodwardland,Massachusetts,India,inelson@brown.biz,(037)710-8137x276,Good,40,25,21,3,Male,27
60,Brian,Anderson,HR,Manager,2020-05-25,68914.37,14.43,Lindahaven,Nevada,India,patelneil@hamilton.com,956.011.3652x800,Poor,29,6,27,13,Male,46
61,Lisa,Palmer,IT,Analyst,2017-05-24,36262.47,7.87,New Kimberly,Georgia,India,veronica05@diaz-guerrero.com,610.626.3680,Poor,32,19,21,10,Male,28
62,Monica,Black,HR,Analyst,2017-09-19,119638.31,6.46,South Deannaborough,Wisconsin,India,michaelflowers@scott.com,(337)959-9828x605,Good,29,26,5,3,Female,33
63,Eric,Fleming,HR,Analyst,2018-08-05,50884.09,6.55,Port Cynthia,Oklahoma,India,lauriewilliams@gmail.com,001-418-472-8769x875,Poor,22,30,43,7,Female,56
64,Alicia,Collins,Finance,Executive,2016-11-03,109777.48,11.56,Karenview,Wyoming,India,kshields@yahoo.com,957-757-4064,Poor,41,12,30,3,Female,30
65,Philip,Myers,Marketing,Developer,2016-02-19,80987.43,15.78,North Robert,Texas,India,meyersonya@miller.com,+1-780-020-4858x3715,Poor,40,23,48,4,Male,42
66,Eric,Henderson,HR,Analyst,2020-02-18,39081.44,8.49,New Jeanmouth,Missouri,India,medinaalicia@snow-martin.biz,468-603-1227x606,Excellent,27,21,5,13,Male,28
67,Kevin,Shepherd,IT,Executive,2022-11-29,44774.25,18.02,North Ricky,Nebraska,India,bennettchristopher@yahoo.com,+1-323-734-9663,Good,35,6,14,15,Female,50
68,John,Todd,HR,Executive,2019-05-08,102225.84,13.82,Knoxville,Arkansas,India,aaroncarter@hotmail.com,952-649-9263x9038,Excellent,29,5,49,11,Female,41
69,Leslie,Garcia,HR,Coordinator,2021-10-03,88710.05,9.81,Stewartberg,New Hampshire,India,kevinhobbs@anderson.com,465.040.5269x3052,Poor,46,22,37,3,Female,36
70,Monica,Perry,Finance,Coordinator,2024-06-30,119790.6,8.0,East Andreton,West Virginia,India,wrightrobert@shaw.net,886.582.5022x659,Average,31,5,22,12,Female,39
71,James,Alexander,HR,Developer,2024-10-23,50533.48,16.13,Berryside,Idaho,India,ashley69@odonnell.biz,607.650.2058x2272,Average,10,3,0,12,Male,46
72,Timothy,Moore,IT,Developer,2018-10-22,51202.43,9.92,Michaelside,Mississippi,India,caldwellthomas@yahoo.com,+1-241-084-4645x892,Excellent,34,29,15,8,Male,46
73,Jeremy,Smith,Finance,Analyst,2023-09-06,34549.98,14.87,West Joe,Georgia,India,torresrebecca@gmail.com,851-122-7875x6011,Excellent,31,13,5,3,Male,49
74,Elizabeth,Carter,Operations,Developer,2015-12-09,76379.11,5.25,Robertland,Rhode Island,India,caitlinsteele@hotmail.com,001-153-178-2244,Good,35,22,25,1,Female,45
75,Savannah,Hunter,Finance,Developer,2017-11-19,52637.31,15.26,Christopherstad,New York,India,devin44@guerrero-martinez.org,(339)093-1615,Average,9,14,16,10,Male,59
76,Mark,Obrien,Operations,Developer,2019-10-10,118915.74,19.86,Mooreside,Kansas,India,ybuchanan@zimmerman.org,101.566.2125x70631,Average,8,8,24,12,Female,51
77,Michael,Green,HR,Coordinator,2019-06-17,81376.15,14.86,Warnershire,Alabama,India,hoffmanpatrick@hotmail.com,001-253-275-1420x3469,Poor,21,11,11,3,Female,33
78,Paula,Powell,Marketing,Manager,2016-11-15,49471.66,8.3,Coreyside,Missouri,India,jason64@johnson-hunter.com,(020)772-2356x58117,Excellent,36,29,7,9,Male,30
79,Kenneth,Cline,IT,Executive,2025-07-15,119919.88,6.16,New Doris,Connecticut,India,scottnatalie@yahoo.com,9785350276,Poor,30,12,10,3,Male,60
80,Jennifer,Gregory,IT,Coordinator,2020-01-30,90173.65,18.84,Garciafurt,Georgia,India,jamielopez@anderson.com,+1-834-857-1184x43863,Average,36,26,19,12,Male,29
81,Christopher,Brown,Marketing,Analyst,2024-01-23,105343.23,13.36,North Valerie,Massachusetts,India,stevenlopez@cervantes-freeman.com,+1-702-427-5998,Good,3,5,16,14,Male,49
82,Joseph,Bowers,HR,Analyst,2015-10-08,89781.42,9.2,Martinside,Arizona,India,snyderbrittany@mcdaniel-king.com,001-254-585-4328x5137,Good,35,8,3,1,Male,37
83,Alexis,Valdez,HR,Executive,2021-12-17,61860.46,12.27,Hallbury,Idaho,India,qwalls@garcia-blair.com,829-651-2007,Poor,4,10,19,10,Male,56
84,Jessica,Russell,IT,Manager,2018-03-13,75915.09,19.63,New Ronaldville,Illinois,India,simonkelly@hotmail.com,7951346808,Excellent,11,24,29,14,Female,35
85,John,Wilson,IT,Executive,2024-06-23,52081.07,13.53,Port Jasmine,Rhode Island,India,eric29@vincent-willis.biz,525-395-9778,Good,22,9,17,6,Female,27
86,Mary,Davidson,Operations,Analyst,2024-12-11,53836.39,15.41,Torreschester,Georgia,India,gallowaymarc@hotmail.com,037.967.4147,Poor,3,3,10,4,Female,57
87,Ryan,Thomas,IT,Coordinator,2018-03-10,69212.77,9.03,Lake Charlesmouth,Florida,India,fieldstimothy@gmail.com,(258)935-1308,Poor,32,10,18,4,Male,46
88,Henry,Richards,HR,Developer,2025-04-10,116029.4,14.03,Lake Frankstad,Hawaii,India,dbartlett@hawkins.com,197-977-3007,Excellent,9,21,9,4,Male,54
89,Jennifer,Nelson,IT,Analyst,2021-03-28,77719.25,7.34,Coryville,Pennsylvania,India,stephaniehuber@martin.info,0145745715,Average,12,13,12,7,Male,40
90,Teresa,Green,HR,Analyst,2020-10-23,75122.35,12.5,South Karentown,Pennsylvania,India,richard62@yahoo.com,953.184.0186x84115,Poor,37,29,14,13,Female,39
91,Duane,Hernandez,Operations,Manager,2021-10-26,72647.13,5.65,Port Matthew,Connecticut,India,jessicasilva@hotmail.com,170.560.1039x650,Good,13,7,3,7,Male,59
92,Jason,Best,Marketing,Coordinator,2015-08-15,86908.35,7.41,East Paul,Montana,India,gnguyen@boyle.com,001-104-493-5249x16635,Average,24,29,39,6,Male,37
93,Jasmine,Washington,Marketing,Executive,2015-08-29,98471.34,15.6,Lake Christopherchester,Missouri,India,velazquezsteven@rivera.com,886-348-8094x983,Good,23,28,9,6,Female,56
94,Matthew,Cowan,Finance,Coordinator,2017-03-03,54493.78,12.31,New Douglasbury,Oregon,India,julia80@harper.biz,001-473-806-1680x61184,Excellent,30,21,42,14,Male,28
95,Melanie,Torres,Marketing,Executive,2018-11-01,36506.23,6.6,New Sydney,Idaho,India,ngonzales@hotmail.com,790.723.2970x819,Good,27,17,12,4,Male,57
96,Mary,Marsh,Finance,Developer,2018-07-03,111224.71,19.86,Andreshire,New York,India,grossnancy@li.com,750.072.5736,Average,38,1,39,6,Male,36
97,Heather,Cervantes,Finance,Manager,2019-05-27,76084.53,8.42,West William,Vermont,India,thomas96@gmail.com,507.206.9506,Poor,15,0,19,14,Female,26
98,Christopher,White,Operations,Executive,2022-10-22,103692.83,18.76,Sierramouth,Nevada,India,bortega@snyder.info,720-765-4045,Average,47,25,8,11,Male,34
99,Francisco,Roberson,IT,Coordinator,2021-03-11,77405.53,18.79,Lake Patricia,North Dakota,India,ksimon@donaldson.net,096-366-3245,Good,48,21,31,2,Male,59
100,Chris,Fitzgerald,Finance,Coordinator,2022-02-26,74956.3,7.07,Amyborough,New York,India,steinamy@hotmail.com,4598709107,Average,26,3,31,1,Male,37
101,Mario,Kelly,IT,Manager,2024-11-15,48550.21,9.13,North Anthonytown,New Hampshire,India,darryl11@atkinson-conner.com,(407)091-3949,Excellent,41,25,45,12,Male,33
102,Jeffrey,Scott,Marketing,Developer,2018-03-17,72765.44,7.04,Johnside,Delaware,India,meganortega@gmail.com,+1-285-903-1087x3190,Good,13,3,8,9,Male,52
103,Jonathan,Davis,Marketing,Executive,2016-07-22,102238.27,14.12,Wendyside,Mississippi,India,johnsonamy@hotmail.com,171.366.4251,Excellent,12,8,40,12,Female,39
104,Ashley,Kelly,HR,Manager,2022-09-09,59112.23,11.59,West Sierraport,New Mexico,India,barbaraparker@orozco.biz,+1-671-315-8839x3816,Average,44,9,4,1,Male,58
105,Scott,Montgomery,Operations,Manager,2015-12-13,82974.22,18.75,Joshuaton,Wisconsin,India,jonathan67@garza.biz,328-642-6879x5773,Average,13,0,12,15,Female,28
106,Andrew,Ward,Finance,Manager,2021-03-11,50775.9,5.34,North Allen,Arizona,India,moorebryan@rivera-yang.com,001-764-849-8377x42741,Average,27,19,11,5,Female,33
107,Tammy,Page,Marketing,Manager,2018-08-03,63039.22,19.96,Sawyerborough,Missouri,India,alexisrodriguez@hotmail.com,067-026-8133x7551,Excellent,21,7,43,10,Female,38
108,Aaron,Aguilar,IT,Executive,2019-02-27,64016.33,18.17,West Patricia,Hawaii,India,jonessusan@gmail.com,001-218-052-0996x376,Poor,28,16,46,10,Male,45
109,Tristan,Fox,Operations,Manager,2022-04-02,57462.86,5.04,New Erichaven,Arkansas,India,layala@martinez-stone.com,362.969.9753,Good,48,23,37,10,Male,60
110,Steven,Collins,Marketing,Analyst,2020-10-27,87808.42,19.04,South Stephanie,Hawaii,India,shirleywatts@yahoo.com,(592)457-9245x3032,Excellent,23,4,34,8,Male,59
111,Dale,Hammond,Operations,Developer,2024-09-13,104536.43,8.93,Fitzpatrickshire,Montana,India,amanda01@hotmail.com,7959732932,Poor,22,23,19,1,Female,34
112,Anthony,Downs,IT,Analyst,2023-02-12,62394.35,6.0,Jessicaview,Kentucky,India,jenniferrodriguez@carter-hamilton.com,(828)333-4823,Good,2,22,15,8,Male,46
113,Jennifer,Jacobs,Finance,Executive,2022-08-05,59122.99,7.96,Holmesborough,Illinois,India,mary30@gmail.com,091.854.8859,Poor,9,16,35,15,Male,23
114,Barbara,Thomas,Finance,Manager,2023-04-09,34321.2,5.51,Lake Jeromeport,Washington,India,wendyjimenez@yahoo.com,+1-999-771-4668,Excellent,21,18,8,3,Female,46
115,Melvin,Smith,Marketing,Analyst,2019-12-25,117463.64,9.05,Davidberg,Delaware,India,ramirezlauren@little.com,257.196.0804,Good,18,7,9,12,Female,50
116,Rebecca,Mendoza,IT,Executive,2018-01-14,74880.0,18.41,Brianburgh,South Dakota,India,gregory76@stone.com,001-546-949-8459x575,Average,20,12,16,6,Female,52
117,Carmen,Vaughn,Finance,Manager,2023-12-21,92290.11,11.84,East Deborah,Iowa,India,youngrebecca@yahoo.com,001-397-376-7834x9037,Excellent,10,9,18,7,Female,35
118,Darren,Ray,IT,Executive,2023-09-09,54354.18,13.6,Patelhaven,South Carolina,India,mark31@yahoo.com,293-930-2498x817,Average,41,20,20,2,Male,36
119,Erin,Lee,IT,Developer,2025-07-20,67452.05,13.9,New Jenniferhaven,Missouri,India,taylor45@harris.com,+1-333-142-1925,Average,28,19,4,3,Female,45
120,Jack,Fisher,IT,Analyst,2017-12-08,112335.5,9.31,Elizabethshire,Nevada,India,anthonymcdowell@yahoo.com,001-463-867-7291x56537,Good,27,27,9,11,Female,27
121,Frances,Rogers,Finance,Developer,2019-08-31,68581.11,8.04,Mendozashire,Utah,India,ivelasquez@hurley.com,(402)038-9078,Good,48,11,14,12,Male,44
122,Samuel,Shea,Operations,Executive,2024-05-31,85849.65,9.16,Farmertown,Montana,India,carneyaaron@gmail.com,(069)721-1894,Average,28,6,44,6,Male,50
123,Jonathan,Holloway,IT,Analyst,2024-07-16,81664.78,8.74,Lake Rachel,Rhode Island,India,alewis@wood.org,001-103-221-8293,Good,11,25,50,1,Male,49
124,Paul,Moore,Marketing,Analyst,2018-08-21,82096.78,17.52,Robertbury,Indiana,India,wellsleroy@stone-arroyo.com,(517)899-6209x556,Good,2,27,50,10,Male,37
125,Joshua,Mccoy,Marketing,Analyst,2019-03-30,36199.01,12.26,South Michael,Idaho,India,anthony36@gmail.com,317-543-6970x1818,Poor,12,4,35,1,Female,60
126,Timothy,Robertson,Finance,Developer,2023-12-02,46954.59,19.41,New Sethstad,Arizona,India,david23@mullen.com,149-871-1934x67153,Poor,8,0,28,1,Female,54
127,Alex,Lewis,Finance,Analyst,2019-07-19,74174.19,10.17,Jessicaton,New Hampshire,India,lewisrobin@yahoo.com,731.732.2465x7844,Poor,35,15,4,11,Female,40
128,Allison,Mccarthy,Marketing,Coordinator,2024-06-08,77273.62,9.11,Kyleside,Washington,India,brian63@swanson-robinson.com,334-274-8697,Average,28,11,41,11,Female,53
129,Stephanie,Lopez,Finance,Executive,2019-08-31,49058.33,13.23,New Jessetown,Kansas,India,warnermark@gmail.com,(625)746-4497x2768,Average,17,13,18,6,Male,39
130,Garrett,Kirby,IT,Manager,2017-03-01,55171.33,16.82,Robertchester,Illinois,India,krobinson@gmail.com,001-648-193-7036,Excellent,23,8,38,13,Male,60
131,Ashley,Mosley,Operations,Manager,2025-08-07,74666.91,8.34,Port James,Minnesota,India,hjones@robinson.net,+1-718-599-8333x65838,Average,13,29,50,5,Male,32
132,Carlos,Reyes,Finance,Analyst,2024-09-07,71706.93,17.66,Coleside,Mississippi,India,tcardenas@hotmail.com,+1-486-643-4310x233,Excellent,17,7,48,4,Female,44
133,David,Perkins,Marketing,Developer,2023-02-02,94327.48,10.5,South Matthewton,Oregon,India,amanda95@hotmail.com,584-469-2390x726,Average,6,28,41,13,Female,29
134,Brent,Williams,Operations,Executive,2021-04-09,93584.26,16.26,South Christopher,Oklahoma,India,steven57@ruiz.info,001-036-394-0386x602,Good,33,30,43,14,Male,55
135,Jessica,Campbell,Marketing,Manager,2023-09-26,112994.4,8.72,Lake Martinhaven,South Dakota,India,katherine15@hotmail.com,7656034332,Good,24,26,13,6,Male,32
136,Jared,Garcia,Operations,Executive,2019-06-19,101925.83,8.27,South Karimouth,West Virginia,India,zmahoney@hotmail.com,001-284-776-4751,Poor,34,2,27,15,Male,39
137,Cindy,Blevins,IT,Manager,2025-02-24,59065.8,19.07,Bryanville,Wisconsin,India,stonebryan@williams.com,093-995-3846x341,Excellent,8,1,9,13,Female,30
138,David,Wu,HR,Developer,2017-01-15,91635.99,6.29,Longmouth,Alaska,India,uboyd@gmail.com,641-640-8587x5426,Good,31,23,46,15,Male,32
139,Veronica,Jackson,IT,Executive,2017-02-02,74756.35,10.02,New David,Nevada,India,julie62@yahoo.com,+1-454-762-9277x7929,Good,9,30,31,7,Female,58
140,Taylor,Johnson,Marketing,Coordinator,2021-04-13,106304.15,17.81,Christinaview,Missouri,India,alyssadougherty@gmail.com,081.207.0733,Good,36,1,24,8,Female,29
141,Valerie,Dixon,Operations,Executive,2020-04-05,102131.54,5.17,Mccarthyburgh,California,India,normanmark@gmail.com,(106)492-4837x527,Average,19,23,18,5,Male,46
142,Richard,Jones,IT,Executive,2016-03-29,56024.33,13.7,East Barbara,Oklahoma,India,jennifer70@mann.net,2439730626,Excellent,12,27,35,1,Female,47
143,Michael,Johnson,Operations,Manager,2019-08-29,103485.34,10.99,Harperfort,Hawaii,India,roachelizabeth@hotmail.com,513.324.6386x797,Excellent,41,21,7,7,Male,24
144,Jennifer,Shannon,Operations,Developer,2022-07-23,36182.29,12.11,West Joshuaburgh,Louisiana,India,donna45@yahoo.com,3178702423,Excellent,7,3,25,12,Female,52
145,Meredith,Wright,IT,Developer,2018-02-13,109682.28,8.71,Leemouth,Florida,India,dbaker@day.info,001-779-273-3566,Excellent,2,25,0,1,Female,60
146,Samuel,Duran,Operations,Manager,2024-10-19,111719.99,13.04,Robertside,Oregon,India,psmith@hernandez.info,074.727.5120,Average,35,8,26,10,Male,42
147,Eric,Sloan,Operations,Developer,2023-11-04,48268.31,11.25,Christianstad,New Hampshire,India,whitejeffrey@yahoo.com,(609)196-0353x486,Average,5,18,18,14,Female,60
148,Erik,Miller,Operations,Developer,2016-06-19,74845.5,6.89,Russellchester,Nevada,India,kwright@gmail.com,(449)228-1326,Good,50,9,27,1,Male,41
149,Jeffrey,Anthony,Operations,Executive,2017-02-14,64426.53,9.48,Lake Alejandra,Ohio,India,ochoasharon@salazar.net,(907)899-7575x09239,Poor,20,30,48,7,Female,48
150,Brian,Lewis,IT,Manager,2024-06-27,38339.46,18.91,East Terri,Wyoming,India,edward35@yahoo.com,+1-233-114-9184x13960,Poor,46,27,27,4,Female,51
151,Thomas,Sanders,Marketing,Developer,2020-02-02,100480.55,8.23,South Barryfort,California,India,fisherashley@jones.info,366-437-6253x43900,Excellent,40,25,13,15,Female,29
152,John,Thornton,HR,Executive,2018-04-02,98207.67,13.01,Lake Jacobstad,Tennessee,India,littledavid@ramirez-bartlett.com,+1-814-695-0083x8521,Poor,15,18,21,8,Female,38
153,Marcus,Thomas,Marketing,Coordinator,2017-02-10,59099.74,17.25,Sheilaview,Texas,India,tracy47@morgan.com,(643)109-9767x653,Poor,48,4,31,10,Male,41
154,Samantha,Tran,HR,Developer,2024-02-05,55005.75,17.31,Tamaramouth,Kentucky,India,jacquelinerivera@yahoo.com,754.663.9398x286,Average,43,28,24,11,Male,47
155,Alisha,Bush,Marketing,Developer,2023-08-11,113744.58,5.09,Cunninghamport,New Jersey,India,smithdennis@gmail.com,7364108376,Excellent,17,6,10,2,Male,51
